img_name,segment_id,lat,long
Segment 211.png,211,14.5585869,121.0139888
Segment 212.png,212,14.5570365,121.0144248
Segment 213.png,213,14.5569453,121.0144424
Segment 214.png,214,14.5548943,121.0148512
Segment 215.png,215,14.5620925,121.0121712
Segment 216.png,216,14.5597809,121.0099964
Segment 217.png,217,14.5600052,121.0104141
Segment 218.png,218,14.5602189,121.0108335
Segment 219.png,219,14.5602621,121.0109163
Segment 220.png,220,14.5603051,121.0110003
Segment 221.png,221,14.5603482,121.0110843
Segment 222.png,222,14.560422,121.0112502
Segment 223.png,223,14.5659493,121.0144073
Segment 224.png,224,14.5661156,121.0144937
Segment 225.png,225,14.5642557,121.0162815
Segment 226.png,226,14.5641507,121.0162329
Segment 227.png,227,14.5640673,121.0162071
Segment 228.png,228,14.5639795,121.0161767
Segment 229.png,229,14.5628662,121.015727
Segment 230.png,230,14.5627783,121.0156943
Segment 231.png,231,14.5627213,121.0156549
Segment 232.png,232,14.5626523,121.0156451
Segment 233.png,233,14.5624795,121.0155801
Segment 234.png,234,14.5621846,121.0156989
Segment 235.png,235,14.5615333,121.0200036
Segment 236.png,236,14.5612252,121.0202706
Segment 237.png,237,14.5611056,121.0195359
Segment 238.png,238,14.5610737,121.0192539
Segment 239.png,239,14.5610526,121.0190426
Segment 240.png,240,14.561062,121.0186182
